customer_id,total_orders,total_items,total_spent,avg_order_value,total_categories,top_category,avg_review_score,total_reviews,behavior_profile
8d0c2ae2c7b532f0e90bdd06bc9a04b7,1,1,199.0,199.0,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
d3e4ad6760adbf81d8b379877e6293aa,1,1,16.97,16.97,1,telefonia,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""telefonia"": 1}}"
304a41e167c190e1d39396426f0ba90a,1,1,17.37,17.37,1,utilidades_domesticas,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""utilidades_domesticas"": 1}}"
71277afecb5c7487d4c7f39f6697b7a8,1,1,159.9,159.9,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
162e0d0e69e279de6dae202082e45c63,1,1,13.65,13.65,1,eletronicos,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""eletronicos"": 1}}"
3fc94ea7aed9a5ab86431c3842c44542,1,1,74.9,74.9,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
1cd5de8b2acfd7667f7529070932081f,1,1,119.0,119.0,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
6952907ae6fdb446b191dc46845b42e5,1,1,149.0,149.0,1,informatica_acessorios,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
2100ae0e9921b8198d8b773d9e13494f,1,2,102.53,102.53,1,cama_mesa_banho,5.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""cama_mesa_banho"": 2}}"
b4b0c0b0e3f72d82a595495c1c8b5ecf,1,1,32.0,32.0,1,moveis_decoracao,2.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
0f218a0d9827580aaab2d6b9a6fe03fa,1,1,65.9,65.9,1,esporte_lazer,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""esporte_lazer"": 1}}"
dc30f5f92dea8459e7b87805306934d7,1,1,144.9,144.9,1,moveis_escritorio,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_escritorio"": 1}}"
91a4d4f7a264cddaab3e19a5ad4ae8bd,1,1,89.9,89.9,1,moveis_cozinha_area_de_servico_jantar_e_jardim,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_cozinha_area_de_servico_jantar_e_jardim"": 1}}"
5a99f3ed7b721d9aa04b6f73e0abdfc7,1,1,86.9,86.9,1,cama_mesa_banho,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cama_mesa_banho"": 1}}"
bf1706c03ccc5ecbfd217c81d02d3aee,1,1,52.9,52.9,1,perfumaria,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""perfumaria"": 1}}"
996267e3543c657e34dba8f8315bd302,1,1,219.9,219.9,1,esporte_lazer,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""esporte_lazer"": 1}}"
96cc1e89c75aad1dcc4493a2f5f5b23d,1,2,396.0,396.0,1,construcao_ferramentas_jardim,4.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""construcao_ferramentas_jardim"": 2}}"
b2df53a0d86cbc9c48616392a6e57c57,1,1,10.0,10.0,1,market_place,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""market_place"": 1}}"
ca96bbd1405379b80e48b64cee01ded0,1,1,19.9,19.9,1,cama_mesa_banho,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cama_mesa_banho"": 1}}"
7ba2998eb6ac06bf80e1c14a7f249f4e,1,1,199.7,199.7,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
1ccbbc8bf31f3641a48c52432bc44c61,1,1,249.99,249.99,1,beleza_saude,3.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
5006cc988e09a726aa077517484b1191,1,1,15.55,15.55,1,utilidades_domesticas,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""utilidades_domesticas"": 1}}"
9c52e1effa73f4d4b2b3c73bf599972e,1,1,29.9,29.9,1,livros_tecnicos,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""livros_tecnicos"": 1}}"
e257f6f4039b206dff4c358312a669d7,1,2,131.0,131.0,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 2}}"
2be98376cf2736a3f14813ae95fc6969,1,1,29.5,29.5,1,cool_stuff,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cool_stuff"": 1}}"
b791f3a14af336adefada909e64691b1,1,1,494.99,494.99,1,beleza_saude,3.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
e2e397b14afbf10eabd70b574c00c3df,1,1,29.9,29.9,1,papelaria,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""papelaria"": 1}}"
898b7fee99c4e42170ab69ba59be0a8b,1,1,84.99,84.99,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
eab8d39b5241abcb22eebeca69547491,1,2,118.0,118.0,1,beleza_saude,4.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 2}}"
f889f85e7338927a1a51de65484911f1,1,1,127.26,127.26,1,construcao_ferramentas_construcao,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""construcao_ferramentas_construcao"": 1}}"
621c4375f33e843ba4111a6fc493fd0d,1,1,109.0,109.0,1,esporte_lazer,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""esporte_lazer"": 1}}"
6e128f61fa6c41fedf1a9137669880b3,1,1,226.95,226.95,1,automotivo,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""automotivo"": 1}}"
94dad91b40a7449b2f3a4df8f1d4554e,1,1,21.2,21.2,1,papelaria,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""papelaria"": 1}}"
8f7ecb4570dccd8aeb216db7823da1de,1,1,29.9,29.9,1,eletrodomesticos,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""eletrodomesticos"": 1}}"
70f95a47532d0a1ffd3b15302f61a1bf,1,1,79.69,79.69,1,perfumaria,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""perfumaria"": 1}}"
2bb93fcd989e0b0e65a0be9461d00470,1,1,27.3,27.3,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
87ed80c76e0cb513456b7429a879e44a,1,1,59.99,59.99,1,beleza_saude,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
d5db211c4387fafdaead20b35f64ce3b,1,1,79.89,79.89,1,moveis_decoracao,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
865258f69d1c08aefff813050c4d7afc,1,1,249.9,249.9,1,moveis_decoracao,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
59770d8576db6731fdb47a6beb74920e,1,1,62.9,62.9,1,livros_tecnicos,2.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""livros_tecnicos"": 1}}"
204d306402eabc695addca8f33c8fc1d,1,1,32.3,32.3,1,market_place,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""market_place"": 1}}"
a469bf7183aaa8062ea38d7eb578d265,1,1,29.99,29.99,1,moveis_decoracao,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
dcc28aa0d26b98f8c3d4d1e338fb05ac,1,1,28.99,28.99,1,telefonia,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""telefonia"": 1}}"
5f34e2c2466a63ed9257b5925326292a,1,1,32.0,32.0,1,utilidades_domesticas,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""utilidades_domesticas"": 1}}"
b33813781b50fd5c62372e61ed8ee618,1,1,29.0,29.0,1,automotivo,2.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""automotivo"": 1}}"
601000180d6e570af83559b7baa70931,1,1,27.9,27.9,1,alimentos,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""alimentos"": 1}}"
115c455ac3a2dc3e5c81ea3da5659c33,1,1,30.0,30.0,0,,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 0, ""preferred_categories"": {}}"
025e01e99753ddcfbac7a2921ac8d3fc,1,1,59.99,59.99,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
ccd4696409883784ec3125db911072e2,1,1,49.99,49.99,1,informatica_acessorios,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
3d4f7591976731bcb263b498f1c61a1b,1,1,24.9,24.9,1,cama_mesa_banho,3.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cama_mesa_banho"": 1}}"
84df5ad0a2f0929761a5d55a1662cc1d,1,1,59.0,59.0,1,cool_stuff,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cool_stuff"": 1}}"
0d801865cd313be33b1ffdfac6b41936,1,1,199.0,199.0,1,papelaria,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""papelaria"": 1}}"
51e17dc6fe0e3581fccc8be70a2d6af4,1,1,99.99,99.99,1,cool_stuff,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cool_stuff"": 1}}"
fe12426fa08047fa2b44da587db1bb28,1,1,114.9,114.9,1,automotivo,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""automotivo"": 1}}"
dd2b8e83a0cb15e07cfeaf40038c3a24,1,1,10.99,10.99,1,moveis_decoracao,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
c2ca5f569938a5f8a79e1f80f3800e3f,1,1,29.99,29.99,1,telefonia,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""telefonia"": 1}}"
fbf63348f1407b889627f56bf252be12,1,1,12.99,12.99,1,informatica_acessorios,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""informatica_acessorios"": 1}}"
21087ff65fd587817c856257e50f2840,1,1,74.9,74.9,1,cama_mesa_banho,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""cama_mesa_banho"": 1}}"
5c46e02c6ae6bc6d3a6f33966d05917c,1,2,63.46,63.46,1,moveis_decoracao,5.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 2}}"
ff761bcce41a296b30dd9f9cba4c9761,1,1,79.9,79.9,1,utilidades_domesticas,4.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""utilidades_domesticas"": 1}}"
7747be8246865477bfefa139eb888de3,1,1,125.0,125.0,1,relogios_presentes,1.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""relogios_presentes"": 1}}"
43d1f18bf86668180f9abb1755c5f166,1,1,102.0,102.0,1,moveis_decoracao,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""moveis_decoracao"": 1}}"
7f9d3722b8dc9b6099feb324a5845ea7,1,1,420.0,420.0,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
ed7c9514731cc85c9cd18dbf8115e8b0,1,1,1599.99,1599.99,1,pcs,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""pcs"": 1}}"
b9699b7bf33f35c934fd99c1c25bb2e9,1,1,55.0,55.0,1,relogios_presentes,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""relogios_presentes"": 1}}"
1290b1ab54f6ca32787bdd4b092797aa,1,1,78.0,78.0,1,beleza_saude,5.0,1.0,"{""purchase_frequency"": 1.0, ""total_categories"": 1, ""preferred_categories"": {""beleza_saude"": 1}}"
14fd66ddf6349b2c9c874aa2094196ae,1,2,134.9,134.9,2,bebes,1.0,1.0,"{""purchase_frequency"": 2.0, ""total_categories"": 2, ""preferred_categories"": {""bebes"": 1, ""brinquedos"": 1}}"
