product_category_name,product_category_name_english
COOL_STUFF,CoolStuff
BELEZA_SAUDE,HealthBeauty
CONSTRUCAO_FERRAMENTAS_SEGURANCA,ConstructionToolsSafety
MOVEIS_DECORACAO,FurnitureDecor
