customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
d36371b951fdccd7f6d3f1c09c241dc5,c96b9f12e8d8b767988234c2ca0d95ce,14780,barretos,SP
cfe0779c3ed7a15946179c36cfcea099,4a885cdb36fd6f2b3a5f73d0524a0dc8,03677,sao paulo,SP
0d3652cb1fda41494f012955e8d483d8,cf9b4f5bd0cc8759d7115915f197d975,04543,sao paulo,SP
f70f80643f8bba51009543d7ff51c8b6,3977023445b2ffaa62e934c2f6da3a28,41110,salvador,BA
7afed877f51f362443ba1bdb49d9577e,647456ac3316ea51f120e3a3c8f8a7ac,95500,santo antonio da patrulha,RS
2586a9c3d898a19110c726babb5ab170,597e8da43c502ff3da034b2f01f2de59,41181,salvador,BA
46f54b37f0933babe0222df0744290bd,0b209d54ce95005e6dd01239d4146ec2,07025,guarulhos,SP
bdb4be59f25a3097fc4cf1ff25ade1d8,6986a6a3a2f98625b839cbdb69b5c12c,92990,eldorado do sul,RS
20570aa103cfe5906c5fd29bad4a31c7,fe3b68fad5c51c31c9f8f4c907cf1826,88037,florianopolis,SC
dbe4400709145b814e268af602fde11c,8060b739d5352b0c9f28cf8ddeb3317d,30570,belo horizonte,MG
06cd112a475fd4d834eff32968147050,527cd2850ef91088969ffbef0103dec3,80030,curitiba,PR
113bdfd53b6c5dbc25dd4aab954b9efe,8b160faff469868625c7c82cbd310636,06702,cotia,SP
5c287b027e8b08cb118ff3a2e36066f6,7c2d3e213a3319425db45a9a5d097cad,75709,catalao,GO
f73659091d1789c9a866de63725a5e4b,664ec9c8b5f1cece2918b17cd2ee6249,29216,guarapari,ES
862cb262660b6cf888db9260fc9ecfe0,19ca02174beb69a8e391a25bcacc554f,86802,apucarana,PR
abaee92d4978f8216173d5d632867746,391d6062da3dd65b4de4524f28c478de,03461,sao paulo,SP
5d5321e98535682e43d2752b3f038f25,47011ded765f5388dba9556c996adbaf,22743,rio de janeiro,RJ
bb33fa516cc79147a1120958912fdf33,5cc1eb5a94ab59494d63f06a5c7eec15,13484,limeira,SP
02f5e5dbe44491de10d095ac98567ad5,a5ed96c1f32643055492dd786e93418f,21930,rio de janeiro,RJ
a0e89f9dfbebeadd73de6bb72471decf,984fd675c074cd34f649e41cc5315749,77760,colinas do tocantins,TO
7aa906a456a94b0dd1b0eaaddc0e8d50,8099fca8a4a6278a24f9b77f74d436bd,96740,arroio dos ratos,RS
1fd5eaabb77d2652f4eda8149dac021a,8b42400c4cb61d91fbc68a94467a700a,55665,camocim de sao felix,PE
dccb66bd83dd489107a5a42d858265cc,22303dbdcc330a66022f280cb1cc2389,24859,itaborai,RJ
3d6646146ec066f0beea6c37ef49b705,cfe71a9cd2110dbf9f293aee50deab84,37900,passos,MG
774c6d56e5d71c722ed8f798785e5e75,c0bc4a1f3c2124439a09a2042683880b,65636,timon,MA
a5609802cdb5494944eb1acb62680133,d99f0b310be3fef729a481b4f892cbda,30640,belo horizonte,MG
