Episode	Reward	Steps
399	99.00	2
400	99.00	2
401	99.00	2
402	99.00	2
403	99.00	2
404	99.00	2
405	97.00	4
406	93.00	8
407	97.00	4
408	99.00	2
409	93.00	8
410	99.00	2
411	99.00	2
412	95.00	6
413	99.00	2
414	99.00	2
415	95.00	6
416	99.00	2
417	95.00	6
418	99.00	2
419	95.00	6
420	97.00	4
421	99.00	2
422	97.00	4
423	99.00	2
424	99.00	2
425	97.00	4
426	91.00	10
427	97.00	4
428	99.00	2
429	95.00	6
430	87.00	14
431	95.00	6
432	97.00	4
433	95.00	6
434	95.00	6
435	97.00	4
436	99.00	2
437	99.00	2
438	93.00	8
439	93.00	8
440	99.00	2
441	95.00	6
442	99.00	2
443	91.00	10
444	99.00	2
445	97.00	4
446	99.00	2
447	99.00	2
448	97.00	4
449	93.00	8
450	99.00	2
451	97.00	4
452	99.00	2
453	91.00	10
454	97.00	4
455	99.00	2
456	99.00	2
457	87.00	14
458	99.00	2
459	93.00	8
460	97.00	4
461	95.00	6
462	97.00	4
463	97.00	4
464	97.00	4
465	99.00	2
466	97.00	4
467	95.00	6
468	95.00	6
469	99.00	2
470	99.00	2
471	99.00	2
472	93.00	8
473	99.00	2
474	99.00	2
475	99.00	2
476	85.00	16
477	97.00	4
478	99.00	2
479	97.00	4
480	97.00	4
481	99.00	2
482	99.00	2
483	89.00	12
484	95.00	6
485	97.00	4
486	99.00	2
487	99.00	2
488	97.00	4
489	99.00	2
490	97.00	4
491	97.00	4
492	99.00	2
493	99.00	2
494	99.00	2
495	97.00	4
496	95.00	6
497	89.00	12
498	93.00	8
499	99.00	2
500	95.00	6
501	99.00	2
502	95.00	6
503	97.00	4
504	93.00	8
505	99.00	2
506	97.00	4
507	99.00	2
508	97.00	4
509	95.00	6
510	95.00	6
511	99.00	2
512	99.00	2
513	91.00	10
514	99.00	2
515	97.00	4
516	97.00	4
517	93.00	8
518	99.00	2
519	99.00	2
520	95.00	6
521	99.00	2
522	99.00	2
523	93.00	8
524	99.00	2
525	97.00	4
526	99.00	2
527	99.00	2
528	97.00	4
529	99.00	2
530	95.00	6
531	99.00	2
532	99.00	2
533	97.00	4
534	97.00	4
535	95.00	6
536	99.00	2
537	95.00	6
538	97.00	4
539	99.00	2
