Episode	Reward	Steps
1	100.00	1
2	100.00	1
3	100.00	1
4	100.00	1
5	100.00	1
6	100.00	1
7	100.00	1
8	98.00	3
9	100.00	1
10	98.00	3
11	96.00	5
12	96.00	5
13	100.00	1
14	100.00	1
15	86.00	15
16	80.00	21
17	98.00	3
18	100.00	1
19	100.00	1
20	90.00	11
21	100.00	1
22	90.00	11
23	100.00	1
24	94.00	7
25	96.00	5
26	100.00	1
27	100.00	1
28	100.00	1
29	100.00	1
30	94.00	7
31	94.00	7
32	100.00	1
33	100.00	1
34	100.00	1
35	100.00	1
36	90.00	11
37	100.00	1
38	100.00	1
39	100.00	1
40	98.00	3
41	98.00	3
42	100.00	1
43	100.00	1
44	100.00	1
45	100.00	1
46	94.00	7
47	96.00	5
48	100.00	1
49	100.00	1
50	100.00	1
51	100.00	1
52	100.00	1
53	98.00	3
54	100.00	1
55	100.00	1
56	94.00	7
57	100.00	1
58	100.00	1
59	96.00	5
60	92.00	9
61	100.00	1
62	100.00	1
63	100.00	1
64	86.00	15
65	98.00	3
66	100.00	1
67	100.00	1
68	100.00	1
69	100.00	1
70	100.00	1
71	100.00	1
72	92.00	9
73	96.00	5
74	98.00	3
75	92.00	9
76	96.00	5
77	98.00	3
78	94.00	7
79	96.00	5
80	96.00	5
81	100.00	1
82	100.00	1
83	100.00	1
84	100.00	1
85	100.00	1
86	100.00	1
87	100.00	1
88	96.00	5
89	96.00	5
90	100.00	1
91	100.00	1
92	98.00	3
93	98.00	3
94	82.00	19
95	84.00	17
96	98.00	3
97	100.00	1
98	100.00	1
99	100.00	1
100	100.00	1
101	100.00	1
102	98.00	3
103	98.00	3
104	100.00	1
105	100.00	1
106	100.00	1
107	98.00	3
108	100.00	1
109	96.00	5
110	100.00	1
111	92.00	9
112	98.00	3
113	100.00	1
114	96.00	5
115	94.00	7
116	100.00	1
117	100.00	1
118	100.00	1
119	98.00	3
120	96.00	5
121	94.00	7
122	96.00	5
123	100.00	1
124	100.00	1
125	100.00	1
126	100.00	1
127	98.00	3
128	100.00	1
129	100.00	1
130	100.00	1
131	96.00	5
132	100.00	1
133	100.00	1
134	98.00	3
135	98.00	3
136	96.00	5
137	100.00	1
138	94.00	7
139	94.00	7
140	100.00	1
141	100.00	1
142	100.00	1
143	100.00	1
144	98.00	3
145	100.00	1
146	98.00	3
147	78.00	23
148	100.00	1
149	100.00	1
150	100.00	1
151	100.00	1
152	96.00	5
153	100.00	1
154	92.00	9
155	100.00	1
156	98.00	3
157	100.00	1
158	100.00	1
159	100.00	1
160	94.00	7
161	96.00	5
162	100.00	1
163	98.00	3
164	86.00	15
165	100.00	1
166	100.00	1
167	98.00	3
168	100.00	1
169	100.00	1
170	100.00	1
171	100.00	1
172	100.00	1
173	100.00	1
174	100.00	1
175	100.00	1
176	98.00	3
177	100.00	1
178	96.00	5
179	100.00	1
180	98.00	3
181	100.00	1
182	96.00	5
183	88.00	13
184	100.00	1
185	94.00	7
186	100.00	1
187	90.00	11
188	98.00	3
189	100.00	1
190	96.00	5
191	100.00	1
192	96.00	5
193	100.00	1
194	94.00	7
195	100.00	1
196	84.00	17
197	100.00	1
198	100.00	1
199	100.00	1
200	100.00	1
201	100.00	1
202	100.00	1
203	100.00	1
204	100.00	1
205	100.00	1
206	98.00	3
207	98.00	3
208	98.00	3
209	94.00	7
210	100.00	1
211	98.00	3
212	100.00	1
213	100.00	1
214	90.00	11
215	100.00	1
216	100.00	1
217	94.00	7
218	100.00	1
219	100.00	1
220	98.00	3
221	100.00	1
222	100.00	1
223	100.00	1
224	100.00	1
225	100.00	1
226	100.00	1
227	100.00	1
228	100.00	1
229	94.00	7
230	100.00	1
231	96.00	5
232	100.00	1
233	100.00	1
234	100.00	1
235	100.00	1
236	100.00	1
237	96.00	5
238	100.00	1
239	98.00	3
240	100.00	1
241	100.00	1
242	100.00	1
243	92.00	9
244	92.00	9
245	100.00	1
246	100.00	1
247	100.00	1
248	96.00	5
249	96.00	5
250	100.00	1
251	100.00	1
252	100.00	1
253	100.00	1
254	96.00	5
255	98.00	3
256	94.00	7
257	96.00	5
258	100.00	1
259	100.00	1
260	100.00	1
261	98.00	3
262	94.00	7
263	100.00	1
264	98.00	3
265	100.00	1
266	100.00	1
267	100.00	1
268	98.00	3
269	98.00	3
270	100.00	1
271	100.00	1
272	100.00	1
273	100.00	1
274	98.00	3
275	92.00	9
276	100.00	1
277	100.00	1
278	100.00	1
279	100.00	1
280	100.00	1
281	90.00	11
282	98.00	3
283	96.00	5
284	96.00	5
285	100.00	1
286	100.00	1
287	94.00	7
288	100.00	1
289	96.00	5
290	100.00	1
291	98.00	3
292	100.00	1
293	92.00	9
294	90.00	11
295	98.00	3
296	100.00	1
297	100.00	1
298	100.00	1
299	98.00	3
300	98.00	3
301	88.00	13
302	100.00	1
303	100.00	1
304	100.00	1
305	100.00	1
306	98.00	3
307	98.00	3
308	94.00	7
309	100.00	1
310	100.00	1
311	98.00	3
312	100.00	1
313	98.00	3
314	100.00	1
315	100.00	1
316	100.00	1
317	100.00	1
318	100.00	1
319	100.00	1
320	100.00	1
321	100.00	1
322	100.00	1
323	100.00	1
324	100.00	1
325	100.00	1
326	100.00	1
327	98.00	3
328	100.00	1
329	94.00	7
330	100.00	1
331	100.00	1
332	94.00	7
333	98.00	3
334	100.00	1
335	100.00	1
336	96.00	5
337	98.00	3
338	100.00	1
339	98.00	3
340	94.00	7
341	100.00	1
342	98.00	3
343	100.00	1
344	98.00	3
345	94.00	7
346	100.00	1
347	100.00	1
348	100.00	1
349	100.00	1
350	98.00	3
351	94.00	7
352	100.00	1
353	100.00	1
354	96.00	5
355	98.00	3
356	100.00	1
357	100.00	1
358	100.00	1
359	100.00	1
360	100.00	1
361	98.00	3
362	100.00	1
363	100.00	1
364	98.00	3
365	100.00	1
366	100.00	1
367	100.00	1
368	98.00	3
369	100.00	1
370	96.00	5
371	100.00	1
372	100.00	1
373	98.00	3
374	96.00	5
375	100.00	1
376	100.00	1
377	98.00	3
378	100.00	1
379	96.00	5
380	98.00	3
381	100.00	1
382	100.00	1
383	100.00	1
384	100.00	1
385	100.00	1
386	98.00	3
387	100.00	1
388	98.00	3
389	98.00	3
390	100.00	1
391	98.00	3
392	98.00	3
393	100.00	1
394	100.00	1
395	96.00	5
396	100.00	1
397	100.00	1
398	100.00	1
399	98.00	3
400	100.00	1
401	98.00	3
402	100.00	1
403	100.00	1
404	98.00	3
405	100.00	1
406	90.00	11
407	98.00	3
408	100.00	1
409	100.00	1
410	100.00	1
411	92.00	9
412	98.00	3
413	100.00	1
414	98.00	3
415	96.00	5
416	100.00	1
417	94.00	7
418	100.00	1
419	100.00	1
420	96.00	5
421	100.00	1
422	100.00	1
423	100.00	1
424	100.00	1
425	98.00	3
426	100.00	1
427	100.00	1
428	100.00	1
429	100.00	1
430	96.00	5
431	100.00	1
432	100.00	1
433	100.00	1
434	100.00	1
435	100.00	1
436	100.00	1
437	100.00	1
438	98.00	3
439	100.00	1
440	88.00	13
441	100.00	1
442	98.00	3
443	98.00	3
444	96.00	5
445	100.00	1
446	96.00	5
447	98.00	3
448	100.00	1
449	96.00	5
450	100.00	1
451	100.00	1
452	100.00	1
453	98.00	3
454	94.00	7
455	96.00	5
456	100.00	1
457	100.00	1
458	100.00	1
459	100.00	1
460	100.00	1
461	100.00	1
462	98.00	3
463	100.00	1
464	98.00	3
465	100.00	1
466	100.00	1
467	100.00	1
468	94.00	7
469	96.00	5
470	96.00	5
471	100.00	1
472	100.00	1
473	100.00	1
474	82.00	19
475	100.00	1
476	100.00	1
477	100.00	1
478	100.00	1
479	98.00	3
480	98.00	3
481	100.00	1
482	100.00	1
483	100.00	1
484	100.00	1
485	100.00	1
486	100.00	1
487	100.00	1
488	100.00	1
489	100.00	1
490	100.00	1
491	100.00	1
492	96.00	5
493	100.00	1
494	100.00	1
495	100.00	1
496	100.00	1
497	100.00	1
498	100.00	1
499	100.00	1
500	100.00	1
501	100.00	1
502	96.00	5
503	100.00	1
504	100.00	1
505	100.00	1
506	100.00	1
507	98.00	3
508	98.00	3
509	100.00	1
510	100.00	1
511	98.00	3
512	100.00	1
513	100.00	1
514	100.00	1
515	100.00	1
516	100.00	1
517	100.00	1
518	100.00	1
519	100.00	1
520	100.00	1
521	100.00	1
522	100.00	1
523	94.00	7
524	100.00	1
525	100.00	1
526	100.00	1
527	100.00	1
528	92.00	9
529	100.00	1
530	100.00	1
531	100.00	1
532	100.00	1
533	98.00	3
534	100.00	1
535	98.00	3
536	98.00	3
537	100.00	1
538	100.00	1
539	100.00	1
540	100.00	1
541	100.00	1
542	100.00	1
543	100.00	1
544	100.00	1
545	100.00	1
546	100.00	1
547	100.00	1
548	100.00	1
549	100.00	1
550	100.00	1
551	100.00	1
552	98.00	3
553	96.00	5
554	100.00	1
555	100.00	1
556	96.00	5
557	96.00	5
558	100.00	1
559	98.00	3
560	100.00	1
561	100.00	1
562	100.00	1
563	98.00	3
564	100.00	1
565	100.00	1
566	100.00	1
567	98.00	3
568	96.00	5
569	100.00	1
570	98.00	3
571	100.00	1
572	96.00	5
573	100.00	1
574	100.00	1
575	94.00	7
576	100.00	1
577	100.00	1
578	100.00	1
579	100.00	1
580	100.00	1
581	98.00	3
582	100.00	1
583	100.00	1
584	100.00	1
585	100.00	1
586	100.00	1
587	100.00	1
588	100.00	1
589	98.00	3
590	100.00	1
591	100.00	1
592	100.00	1
593	100.00	1
594	100.00	1
595	100.00	1
596	100.00	1
597	100.00	1
598	100.00	1
599	100.00	1
600	100.00	1
601	100.00	1
602	100.00	1
603	100.00	1
604	94.00	7
605	100.00	1
606	100.00	1
607	98.00	3
608	100.00	1
609	100.00	1
610	100.00	1
611	100.00	1
612	98.00	3
613	96.00	5
614	96.00	5
615	98.00	3
616	100.00	1
617	100.00	1
618	100.00	1
619	100.00	1
620	100.00	1
621	100.00	1
622	92.00	9
623	100.00	1
624	94.00	7
625	98.00	3
626	100.00	1
627	100.00	1
628	100.00	1
629	100.00	1
630	100.00	1
631	100.00	1
632	100.00	1
633	98.00	3
634	98.00	3
635	100.00	1
636	100.00	1
637	98.00	3
638	100.00	1
639	100.00	1
640	100.00	1
641	100.00	1
642	100.00	1
643	100.00	1
644	94.00	7
645	100.00	1
646	92.00	9
647	100.00	1
648	100.00	1
649	100.00	1
650	98.00	3
651	100.00	1
652	100.00	1
653	100.00	1
654	100.00	1
655	98.00	3
656	92.00	9
657	100.00	1
658	100.00	1
659	100.00	1
660	100.00	1
661	98.00	3
662	100.00	1
663	98.00	3
664	100.00	1
665	100.00	1
666	100.00	1
667	100.00	1
668	100.00	1
669	100.00	1
670	100.00	1
671	100.00	1
672	100.00	1
673	100.00	1
674	100.00	1
675	100.00	1
676	100.00	1
677	100.00	1
678	100.00	1
679	100.00	1
680	100.00	1
681	100.00	1
682	100.00	1
683	100.00	1
684	100.00	1
685	96.00	5
686	100.00	1
687	100.00	1
688	100.00	1
689	100.00	1
690	100.00	1
691	100.00	1
692	100.00	1
693	100.00	1
694	100.00	1
695	100.00	1
696	98.00	3
697	100.00	1
698	100.00	1
699	98.00	3
700	100.00	1
701	98.00	3
702	100.00	1
703	100.00	1
704	100.00	1
705	100.00	1
706	100.00	1
707	100.00	1
708	98.00	3
709	100.00	1
710	98.00	3
711	100.00	1
712	100.00	1
713	98.00	3
714	100.00	1
715	100.00	1
716	100.00	1
717	100.00	1
718	100.00	1
719	100.00	1
720	100.00	1
721	100.00	1
722	100.00	1
723	98.00	3
724	100.00	1
725	100.00	1
726	100.00	1
727	100.00	1
728	100.00	1
729	100.00	1
730	100.00	1
731	100.00	1
732	100.00	1
733	100.00	1
734	100.00	1
735	100.00	1
736	100.00	1
737	100.00	1
738	100.00	1
739	100.00	1
740	100.00	1
741	100.00	1
742	100.00	1
743	100.00	1
744	100.00	1
745	100.00	1
746	100.00	1
747	100.00	1
748	100.00	1
749	100.00	1
750	100.00	1
751	100.00	1
752	100.00	1
753	100.00	1
754	100.00	1
755	100.00	1
756	96.00	5
